################################################################## 32
#IPSpamList Sample Feeds 32
#Updated on July 26, 2020, 12:00 am 32
#You should check this file no more than 1 time every 6 hours 32
#Free for non-commercial use only, contact us for more information 32
#You agree to NOT re-distribute these feeds anywhere 32
#You agree to NOT merge these feeds in commercial feeds or services 32
#You agree to NOT sell/resell/transfer for a value these feeds 32
################################################################## 32
first_seen,last_seen,ip_address,category,attacks_count 32
2020-07-25 21:58:36,2020-07-25 21:58:36,104.149.131.70,Unclassified,1 32
2020-07-25 22:35:48,2020-07-25 22:35:48,103.45.109.72,MS-DS Attack,1 32
2020-07-25 21:54:19,2020-07-25 21:54:19,102.188.22.47,MS-DS Attack,1 32
2020-07-25 21:54:20,2020-07-25 21:54:20,102.184.115.192,MS-DS Attack,1 32
2020-07-25 20:38:03,2020-07-25 20:38:03,101.109.155.55,MS-DS Attack,1 32
2020-07-25 14:47:23,2020-07-25 14:47:23,91.232.188.161,MS-SQL Attack,1 32
2020-07-25 17:13:06,2020-07-25 17:13:06,73.206.49.128,SSH Brute Force,1 32
2020-07-25 15:04:08,2020-07-25 15:04:08,59.60.180.6,Telnet,1 32
2020-07-25 17:53:03,2020-07-25 17:53:03,54.188.177.208,Unclassified,1 32
2020-07-25 12:55:48,2020-07-25 12:55:48,51.235.20.2,MS-DS Attack,1 32
2020-07-25 12:50:22,2020-07-25 12:50:22,200.96.183.208,Telnet,1 32
2020-07-25 14:31:14,2020-07-25 14:31:14,200.58.89.247,Proxy Scan,1 32
2020-07-25 14:58:51,2020-07-25 14:58:51,191.85.3.250,MS-DS Attack,1 32
2020-07-25 16:06:14,2020-07-25 16:06:14,190.74.22.215,MS-DS Attack,1 32
2020-07-25 13:32:00,2020-07-25 13:32:00,188.215.161.79,Proxy Scan,1 32
2020-07-25 13:19:21,2020-07-25 13:19:21,131.0.224.186,MS-DS Attack,1 32
2020-07-25 13:53:20,2020-07-25 13:53:20,121.226.160.210,MS-SQL Attack,1 32
2020-07-25 13:05:31,2020-07-25 13:05:31,118.170.224.1,MS-DS Attack,1 32
2020-07-25 12:02:13,2020-07-25 12:02:13,105.154.179.67,MS-SQL Attack,1 32
2020-07-25 12:18:46,2020-07-25 12:18:46,102.39.129.99,MS-DS Attack,1 32
2020-07-25 15:34:59,2020-07-25 15:34:59,95.135.98.32,MS-DS Attack,1 32
2020-07-25 12:09:39,2020-07-25 12:09:39,89.148.61.103,MS-DS Attack,1 32
2020-07-25 15:17:01,2020-07-25 15:17:01,79.6.131.231,MS-DS Attack,1 32
2020-07-25 15:09:52,2020-07-25 15:09:52,79.126.68.38,MS-DS Attack,1 32
2020-07-25 14:18:06,2020-07-25 14:18:06,78.179.87.251,MS-DS Attack,1 32
2020-07-25 17:43:22,2020-07-25 17:43:22,58.153.92.164,Unclassified,1 32
2020-07-25 12:31:22,2020-07-25 12:31:22,51.39.19.248,MS-DS Attack,1 32
2020-07-25 14:29:48,2020-07-25 14:29:48,46.177.201.214,Telnet,1 32
2020-07-25 13:07:00,2020-07-25 13:07:00,45.250.249.206,MS-DS Attack,1 32
2020-07-25 14:30:51,2020-07-25 14:30:51,45.164.42.87,MS-DS Attack,1 32
2020-07-25 15:24:54,2020-07-25 15:24:54,45.162.172.178,MS-DS Attack,1 32
2020-07-25 17:44:19,2020-07-25 17:44:19,41.35.133.166,MS-DS Attack,1 32
2020-07-25 16:45:32,2020-07-25 16:45:32,41.34.212.107,MS-DS Attack,1 32
2020-07-25 16:41:24,2020-07-25 16:41:24,41.239.187.141,MS-DS Attack,1 32
2020-07-25 16:45:28,2020-07-25 16:45:28,41.239.143.166,MS-DS Attack,1 32
2020-07-25 16:45:29,2020-07-25 16:45:29,41.233.156.116,MS-DS Attack,1 32
2020-07-25 13:17:58,2020-07-25 13:17:58,37.6.21.74,Telnet,1 32
2020-07-25 14:21:21,2020-07-25 14:21:21,37.252.88.21,MS-DS Attack,1 32
2020-07-25 17:07:16,2020-07-25 17:07:16,2.26.31.99,Telnet,1 32
2020-07-25 12:24:34,2020-07-25 12:24:34,210.195.152.235,MS-SQL Attack,1 32
2020-07-25 17:13:12,2020-07-25 17:13:12,202.24.144.21,MS-SQL Attack,1 32
2020-07-25 13:08:41,2020-07-25 13:08:41,201.22.47.239,MS-DS Attack,1 32
2020-07-25 15:33:19,2020-07-25 15:33:19,197.32.94.215,Telnet,1 32
2020-07-25 17:01:19,2020-07-25 17:01:19,190.200.8.101,MS-DS Attack,1 32
2020-07-25 14:31:11,2020-07-25 14:31:11,188.16.126.44,MS-DS Attack,1 32
2020-07-25 15:14:11,2020-07-25 15:14:11,186.90.37.231,MS-DS Attack,1 32
2020-07-25 13:19:44,2020-07-25 13:19:44,182.243.6.19,MS-SQL Attack,1 32
2020-07-25 17:06:31,2020-07-25 17:06:31,179.95.110.73,MS-SQL Attack,1 32
2020-07-25 16:47:20,2020-07-25 16:47:20,176.207.251.219,Telnet,1 32
2020-07-25 16:36:05,2020-07-25 16:36:05,173.82.243.175,SIP,1 32
